pName,pPrice,pRating,pStock
Ice Cream Bar - Oreo Cone,189,2,127
Compound - Pear,330,4,82
Macaroons - Homestyle Two Bit,148,2,94
Cheese - Bakers Cream Cheese,164,3,81
Southern Comfort,107,4,124
Wine - Chablis 2003 Champs,257,5,128
Carbonated Water - Blackcherry,173,1,102
Chocolate Bar - Reese Pieces,269,5,92
Soup - Campbells - Tomato,122,2,117
Wine - Penfolds Koonuga Hill,128,4,89
"Salmon - Whole, 4 - 6 Pounds",251,3,146
Olives - Nicoise,153,5,108
Soup - Campbells Tomato Ravioli,205,1,149
Oranges,251,5,150
Mushroom - Portebello,101,3,146
"Juice - Cranberry, 341 Ml",87,4,101
Sauce - Ranch Dressing,279,4,145
Sugar - Invert,300,4,119
Wine - Manischewitz Concord,74,1,85
Vinegar - Cider,278,4,133
Absolut Citron,188,4,138
Straw - Regular,83,4,116
Wasabi Paste,290,3,109
Muffin Carrot - Individual,337,4,118
Wine - Shiraz Wolf Blass Premium,292,1,87
Sage - Fresh,85,4,90
Beef - Eye Of Round,311,3,81
"Bag - Bread, White, Plain",204,2,98
"Bread - Roll, Calabrese",196,4,121
"Pork - Bacon,back Peameal",334,4,88
Veal - Provimi Inside,81,2,112
Bacon Strip Precooked,288,5,81
Spice - Onion Powder Granulated,150,1,110
Milk - Condensed,81,5,84
Bread - Frozen Basket Variety,150,5,120
"Wine - Red, Antinori Santa",82,1,107
"Vodka - Hot, Lnferno",335,1,141
"Radish - Black, Winter, Organic",135,3,107
English Muffin,235,5,91
Tequila Rose Cream Liquor,120,3,113
Soup V8 Roasted Red Pepper,318,4,86
Versatainer Nc - 888,244,2,123
Soup - Campbells Broccoli,284,1,122
Lobster - Base,253,5,145
Pork - Bacon Cooked Slcd,321,3,130
Mortadella,106,3,91
Wine - Barolo Fontanafredda,190,1,132
Appetizer - Lobster Phyllo Roll,272,5,93
Anchovy Paste - 56 G Tube,332,3,115
Broom Handle,328,4,89
Cinnamon - Stick,190,3,119
Rice - Brown,196,5,120
Wine - Chateau Bonnet,171,1,87
Flower - Commercial Bronze,288,4,86
Onions - Red,141,4,132
Fond - Chocolate,213,2,84
Broccoli - Fresh,150,3,91
"Bar Mix - Pina Colada, 355 Ml",211,4,150
Soup Campbells,324,3,145
Praline Paste,222,1,104
Coffee Caramel Biscotti,129,2,83
Muffin Mix - Corn Harvest,89,4,137
Potatoes - Mini White 3 Oz,141,1,135
Pastry - Cheese Baked Scones,194,3,87
Wine - Domaine Boyar Royal,73,3,145
Chinese Foods - Thick Noodles,73,3,104
Wine - Casablanca Valley,214,3,108
Soup Campbells Turkey Veg.,316,3,98
Tomatoes - Yellow Hot House,122,5,133
Lettuce - California Mix,116,2,114
Evaporated Milk - Skim,132,3,114
Okra,205,3,88
Chocolate - Milk,245,3,123
Chick Peas - Dried,235,4,101
Fondant - Icing,105,2,146
Tomatoes - Cherry,317,4,125
Celery,79,5,150
Wine - Touraine Azay - Le - Rideau,188,5,97
Hipnotiq Liquor,340,1,121
Island Oasis - Magarita Mix,260,2,145
Appetizer - Seafood Assortment,311,1,111
Coconut - Whole,166,2,89
Cake - Mini Cheesecake,202,2,148
Soup Campbells - Italian Wedding,156,3,140
"Pepper - Black, Crushed",144,2,84
Pimento - Canned,284,1,117
Ostrich - Fan Fillet,220,4,132
Beef - Ground Lean Fresh,240,2,143
Shrimp - 150 - 250,243,3,93
"Lid - 10,12,16 Oz",289,5,120
Soap - Mr.clean Floor Soap,70,2,114
Turnip - Wax,208,1,118
Veal - Liver,283,2,134
Coffee - Decaffeinato Coffee,246,1,91
"Chilli Paste, Hot Sambal Oelek",119,4,82
Juice - Orangina,285,1,130
Butter - Pod,116,4,98
Plasticspoonblack,126,2,130
Red Currant Jelly,232,4,141
Sauce - Alfredo,310,2,88
Wine - Chenin Blanc K.w.v.,76,4,83
Flower - Dish Garden,176,3,147
Cinnamon - Ground,77,2,106
Extract - Almond,296,4,106
Beef - Top Sirloin - Aaa,211,5,134
Peas Snow,190,2,142
"Pasta - Canelloni, Single Serve",308,5,129
Table Cloth 72x144 White,328,4,126
Vaccum Bag - 14x20,260,5,128
Sauce - Rosee,297,2,104
Pears - Bosc,231,4,121
Capon - Whole,298,3,127
Ostrich - Fan Fillet,197,5,147
Wine - Crozes Hermitage E.,177,3,123
Water Chestnut - Canned,319,3,106
Corn Meal,321,5,115
Longan,136,2,132
Pastry - Carrot Muffin - Mini,224,2,95
Guava,87,2,123
Island Oasis - Banana Daiquiri,298,1,90
"Rum - Coconut, Malibu",231,3,106
Pastry - Apple Muffins - Mini,319,3,83
Scallops - 10/20,250,3,107
Tomato Puree,138,5,149
Scallop - St. Jaques,83,2,88
Coffee - Hazelnut Cream,281,5,111
Truffle Shells - Semi - Sweet,139,5,106
"Sauce - Black Current, Dry Mix",110,5,132
"Gingerale - Schweppes, 355 Ml",292,3,147
Ham - Cooked Italian,114,1,132
"Coke - Classic, 355 Ml",144,2,145
Mix - Cappucino Cocktail,187,5,85
Wine - Remy Pannier Rose,215,3,143
"Bread - Dark Rye, Loaf",266,1,135
Dawn Professionl Pot And Pan,271,3,122
Pork - Belly Fresh,229,1,120
Island Oasis - Cappucino Mix,255,2,89
Shortbread - Cookie Crumbs,298,4,99
Truffle Cups - White Paper,175,5,101
Salmon - Canned,323,1,85
Relish,328,5,136
Tequila Rose Cream Liquor,103,2,89
Lemons,210,4,83
Mcguinness - Blue Curacao,296,5,140
Cranberries - Dry,207,1,95
"Pork - Loin, Center Cut",91,4,135
Wine - Kwv Chenin Blanc South,151,5,127
Foam Cup 6 Oz,215,5,112
"Oregano - Dry, Rubbed",280,3,145
Quail Eggs - Canned,238,4,81
Bulgar,340,3,102
"Beef - Kindney, Whole",315,1,107
Table Cloth 90x90 Colour,307,4,83
Bols Melon Liqueur,299,3,147
Pastrami,324,2,113
Wine - Chenin Blanc K.w.v.,70,1,122
"Iced Tea - Lemon, 340ml",332,1,121
Apple - Granny Smith,108,4,112
Bread Base - Gold Formel,290,4,130
Daikon Radish,227,2,117
"Marsala - Sperone, Fine, D.o.c.",203,3,115
Tomatoes - Hot House,137,2,82
Container - Clear 32 Oz,165,4,124
Sprouts - Onion,138,2,138
"Oil - Truffle, White",118,1,140
"Octopus - Baby, Cleaned",215,4,142
Cheese - Grie Des Champ,122,5,93
Oil - Olive Bertolli,247,5,88
Cookies - Assorted,297,4,122
Jello - Assorted,184,4,146
Rabbit - Legs,242,2,140
Chick Peas - Canned,288,4,138
Cheese - Shred Cheddar / Mozza,252,5,133
"Tea - Darjeeling, Azzura",282,3,125
"Melon - Watermelon, Seedless",265,1,97
Yogurt - Assorted Pack,101,5,140
Cheese - Augre Des Champs,235,2,83
"Squash - Pattypan, Yellow",102,5,130
Water - Evian 355 Ml,194,4,104
Berry Brulee,264,2,146
Pur Source,201,1,127
Turnip - White,156,1,109
Cookie Dough - Double,292,3,88
Bread - Triangle White,116,2,105
Scrubbie - Scotchbrite Hand Pad,296,2,99
Cookie Dough - Chocolate Chip,319,4,94
"Pasta - Gnocchi, Potato",146,1,116
Tomato - Peeled Italian Canned,306,1,141
Chinese Lemon Pork,182,4,82
Mints - Striped Red,162,1,87
Sauce - Demi Glace,96,3,148
Bar Mix - Lemon,286,5,92
"Crab - Dungeness, Whole",199,2,149
Sausage - Liver,108,2,99
Wine - Carmenere Casillero Del,204,3,127
Appetizer - Seafood Assortment,330,3,137
"Turnip - White, Organic",79,5,96
Puree - Mango,330,5,102
Cocoa Butter,298,4,118
Wine - Sogrape Mateus Rose,286,2,105
Wine - Alicanca Vinho Verde,109,3,120
Potato - Sweet,172,5,114
Barramundi,319,4,120
Mints - Striped Red,312,2,91
Pate - Liver,152,4,131
"Oregano - Dry, Rubbed",129,3,123
"Shrimp - Baby, Warm Water",226,2,108
"Pork - Butt, Boneless",86,3,134
Milk - 2% 250 Ml,248,4,96
Lambcasing,263,4,133
Glucose,307,2,147
Carroway Seed,89,3,127
"Pasta - Penne, Lisce, Dry",224,2,122
Sauce - Cranberry,181,1,113
"Chocolate - Pistoles, Lactee, Milk",106,3,86
Spice - Chili Powder Mexican,89,2,88
Cloves - Ground,71,1,112
Beer - Heinekin,80,4,86
Sauerkraut,154,5,110
"Orange - Canned, Mandarin",146,3,149
Calypso - Black Cherry Lemonade,218,4,139
Soup - Base Broth Beef,271,3,83
"Gin - Gilbeys London, Dry",220,1,114
"Cup - 6oz, Foam",277,2,80
Cheese - Perron Cheddar,283,2,127
Juice - Propel Sport,292,3,105
Cake - Mini Potato Pancake,130,3,149
"Gin - Gilbeys London, Dry",199,3,131
Chinese Foods - Pepper Beef,228,2,148
"Mushroom - Enoki, Fresh",259,5,92
"Soup - Knorr, Country Bean",233,2,128
Containter - 3oz Microwave Rect.,238,4,125
Calypso - Strawberry Lemonade,136,3,87
Cake - Miini Cheesecake Cherry,234,5,82
"Tart Shells - Savory, 3",200,3,112
Bread Roll Foccacia,318,4,140
Wine - Blue Nun Qualitatswein,238,5,105
Sponge Cake Mix - Vanilla,99,2,82
Cheese - Grana Padano,291,2,119
Turkey - Ground. Lean,319,2,133
Tuna - Fresh,188,4,132
Bread - Wheat Baguette,305,2,117
Bread - Multigrain Oval,74,1,116
Puff Pastry - Slab,233,2,122
"Tart Shells - Barquettes, Savory",155,3,86
Quiche Assorted,177,1,129
Wine - Casablanca Valley,122,5,83
Towels - Paper / Kraft,80,5,140
"Tarragon - Primerba, Paste",243,3,118
Lemon Balm - Fresh,260,3,128
Chocolate - Dark Callets,221,5,103
"Bag - Bread, White, Plain",79,4,112
"Crab - Dungeness, Whole",273,1,125
Limes,240,5,140
Peach - Halves,82,5,83
Cake - Dulce De Leche,340,4,82
Wine - Masi Valpolocell,268,5,121
Quinoa,326,5,95
Jolt Cola - Red Eye,121,3,150
